a, an	wį, wįxce
gossip: malicious and false ~	íe okaaɣéįke
gourd, gourd rattle	hpéɣe
government	mą́ąhį htą́ą
grab hold of	kaaskí
grab someone	ðiiskí
grace (as said at mealtime)	waatá
grain: any kind of ~ (such as wheat, oats)	wacúe
grain sieve	wacúe ikaaži
grand	htą́ka, lą́ąðe
grandchild	
my grandchild	wihćospa, wihćoska, hcošpá
your grandchild	ðihcóšpa, ðihcóška
his/her grandchild	ihcóšpa, ihcóška
grandfather	
my grandfather	wihćiko, hcíko
your grandfather	ðihcíko
his/her grandfather	ihcíko
grandmother	
my/his/her grandmother	iihkó
your grandmother	ðiihkó
grandmother lightning	iihkó lǫ́ǫ
grandmother thunder	iihkó lǫ́ǫ
grandparents	ðiihkówa
grape	háazu
grape juice	háazunii
grasp	ðiihtą́, oðį́įke
grasp someone by the scruff of the neck	ðiiskí
grass	mąąhį́
grass: cut the ~	mąąhį́ kaasé
grass: dry or dried ~	xáhtape
grass: sweet-smelling ~	hpéže brąðáalį
grasshopper	htáhtaze, įįštáxį htáhtaze
grateful	óweena
grateful: be ~ (for)	wéeną
grave	óxe
graveyard	óxe mą́žą
gravy	htáa lįkó, lįkó
gray	šóce, xóce
grayish (like ashes)	xóce
grayhorse	hkáwa xóe
Grayhorse camp (near Fairfax, Okloahoma)	hkáwaxoce
Grayhorse group of Osages	hpasú olį́į
grease	stáðe, wéli
grease: meat ~	htáaweli
greasy	ðóðo
great	htą́ka, lą́ąðe
great deal: a (a lot)	wálį
great-grandchild	wihcóšpa áhkiha
my great-grandchild	ihcóšpa áhkiha
his/her great-grandchild	ihcóšpa áhkiha
greed	íibrąži
greedy	íibrąži, tóekǫ́ži
green (color)	htóho [LFÐ], mąąhį́ htóho
green (unripe)	cúutaži
green beans	hǫbrį́ke, hǫbrįke htóho žį
green onions	mąąžą́xe htóho
green tea	hpéže htóho
greens (vegetable)	ówe, wasúutą
greeting card	íe ðáalį žį
grief, grieve	kihǫ́ǫži
grill (refers only to cooking meat on a rack, as for barbecue)	óhkace
grimace (verb)	įcé ðuuhpíiži
grin (noun), with a grin	íixažį
grind, grind up	ðilǫ́že
grind together (e.g., the teeth)	ðiiskíke
grinder	hówe
grinningly	íixažį
groceries	ónǫbre, ówe
grocery store	ówe hci
ground (earth)	mą́įhka
ground (earth): bare ~	oštá
group including individuals just mentioned	éeðǫǫpa
grow in size	htą́ą
grow up	nǫ́ǫ ahí, nǫ́ǫ ðiištą́
grow up to adulthood	nǫ́ǫ
growl	xowi
grownups	nǫ́ǫ
guess	ípahǫ
guess: I ~ that	ska
guess what?	táatą íbilą che
guinea hen	súhka léze
gullet	tóoce
gum	mį́įhtǫeli
gun	wahóohtą
gunpowder: flask for ~	níixoce weoožu
habitually	ną [ITERATIVE]
haggard	lažį́į
hair	hį́į
hair: roached ~	hé káaɣe
hair (of the head or neck of a human or an animal)	hpaxį́į
hairbrush	wékaapše
haircut	hpáxį ðuusé
haircut: roach ~	hpaxáce
hairdo: women's bun ~	hpáxį ðuutáahpa
half	ohkisce
half a container	hépe
half dollar	ohkísce
half moon	mį́įǫpa aðikeže [LFÐ]
halfway point, at the halfway point	ohką́ska
halt	kaaštą́
halt someone who is passing by	nąąžį́
halt something (e.g., the horse pulling a buggy, the motion of a car)	oðíitą
halve	ðǫǫpáha káaɣe
hammer (noun)	wékaaspe
hammer (verb)	kaaštá
hand: pass by ~	kˀú huu
hand: (also used in referring to the body that are touched by the attendees when passing by a body at a funeral)	šáake
hand game	šáakeoolą́kˀǫ́
hand over, hand to	húðe
hand towel	šáake ípukxa
handbag	mą́zeskaoožú, wáseska
handcuff	paaxcé
handgun	wahóohtą
handkerchief	haaléžowaake, haaská wanǫ́pˀį
handle	ðuhcépe, okášą
handle meat with the hand	htaaðíihtą
handle something with the hand	ðíihtą
handprint	šáake
handshake: have a ~	šáake oðį́́įke
handsome	ðáalį, ohtaza
hang around	ákiɣe
hang up (e.g., clothing)	opáhce
hanging on the back of or behind something else: be ~	oðáha
happen	ékǫ, híeną
happen upon	áhkiǫðe
happy	škaškáða, wakˀá
happy: be ~ about something	kiðálį, kízo
hard (difficult)	wahcéxi
hard (in texture)	saakí
hard (with force)	óhesaži
hard to do things with	saakí
hardly	to
hare	mąšcį́ka
harelip	íhaa žáhta
harm (verb)	ðuhpíiži
harm: do or cause oneself ~	hkilúhpiiži
harm oneself by making a serious mistake	hkilúhpiiži
harm someone physically, mentally, or emotionally	ðiižóži
harmful	wéhpiiži
harmful behavior: engaging in ~	taaðúhpiiži
harmony: in ~, harmoniously	škaškáða
harness	hkáwa hkihkáaɣe
harvest	wapóške ówe
hat	óoląke
hat: don as a ~	óoląke
hat: Osage wedding ~ (a top hat with plumes optionally worn by the bride)	lǫǫhúu
hatch	paaléke, páleke
hatchet	mą́ąhįspežį
hate	íisi
hate a person	hpíiži ažį́
hateful	iiséwaðe
have	aðį́
have: not ~	ðįké
have as one's own	ahkílį, aláðį
have for oneself	ahkílį
have nothing	ðįké
have one's way despite something	óðąži
have someone do something for his/her own benefit	kšiðe
hawk	héka, letǫ́, súhka oðį́įke, wažį́htąą
hawk: black ~	letǫ́sape
hawk: redtailed ~	letą́ ǫ́pe žúuce
Hawk Woman (personal name)	letǫ́wį
hay	mąąhį́
haywire from medicine	mą́hkažóika
haze	níišoce
Heizo (an important Osage tribal division)	heížo
he too	éekitą
head	hpá, hpée, wéeli
head: bald ~	hpeeštá
head: item worn on the ~	óoląke
head: under the ~	į́pehi
head: wear or put on the ~	oolą́ke
head: with the ~ covered	oolą́ke
head committeeman	totą́ha wahtą́ka
head cover	óoląke
head of cattle	hcéeska
headdress	htaasį́įce
headdress: eagle ~	xúðalą́ke
headright	hcíwažu
heal	kiní, kiní káaɣe
heal fully	kítąhe
healed: be ~	ónihkie
healer	wahkǫ́taki
health problems: have ~	íhpiiži, íhuheka
healthy	sísi
hear, hear about	nąkˀǫ́
hear a rumor	ónąkˀǫ
hear of one's own	kínąkˀǫ
heard: something ~	ónąkˀǫ
hearing: (act of hearing)	nąąɣúce
hearing (legal proceeding)	áhkiisto
hearsay	ónąkˀǫ
hearsay: known by ~	áape
heart	ðą́ące
heart attack	ðą́ące ðuusáaki
heart: broken ~	ðą́ące ðuusáaki, ðą́ące xǫ́
heart: have a pain in the ~	ðą́ąceníe
heartache	ðą́ąceníe
hearts (suit in a deck of cards)	ðą́ące, nį́cekˀa
heat (transitive)	táahkace káaɣe
heater: hot water ~	mą́ze níi táahkace káaɣe
heating: smell (good or bad) from ~	táabrą
heaven	mą́žą ðáalį, wahkǫ́ta mą́žą
heavy, heavily laden	skíke
heed (verb)	ánąkˀǫ, opšé
heifer	hcéeska, hceeská mį́įka
hellcat	ilð̨eži iiséwai
hello	hawé
help	óhką
help one's own	okíhką
help someone (who is not a relative)	okíhką
help someone with a task	óhka
help: hired ~	wašížį
hen	súhka mį́įka
hen: guinea ~	súhka léze
hen: turkey ~	súhkahtąą mį́įka
henceforth	ðetxą́ha
her, hers (possessive)	íhta
herd (noun)	opáhce
herd (verb)	kaaží, mąðį́ káaɣe
here near you	šée
here, be here	ðeeká
here (in this place)	káa
hernia	heéze bráze
hiccup	tóoske
hickory nut	hpáhtąą
hidden item	nąlǫ́ǫhkile
hide (verb)	nąlǫ́ǫha, púuspe
hide (animal skin)	háa, xúhaa
hide (animal skin): remove the ~ from anything	ámaxa
hiding place	nąlǫ́ǫhkile
high: hold ~	ðumáða
high noon	mįįðóhta
high quality: of ~	ðáalį
high-tempered	ókˀą hpíiži
highway	óžąke
hill	paaɣó, paaxó
hip	ǫ́pe
hip joint	ší ǫ́pe
hire	waší
hire folks to work	wawáší
hire people to work for oneself	áwawaší
hired hand, hired person	waší
hired help	wašížį
his, be his, belong to him	íhta
hit (e.g., a drum)	kaaštá
hit (e.g., a drum or a person)	ochį́
hit (e.g., someone on the side of the head)	kaabráze
hit hard, hit with a stunning blow	káasaaki
hit someone in a way that shakes him/her up badly	kaaníeži
hit someone in the head	taašéðe
hit someone on the back, knocking the wind out	kaapxóhke
hit things (such as a drum)	óchį
hit with	iichį
Hochunk (Winnebago) (tribe or tribal member)	hóhtąka
hoe	mą́įhka íðištǫka
hog	hkóhkosa
hoggish	hkohkósa ékǫ
hold: have or take ~of	oðį́įke
hold: take ~ of one another	mą́hki
hold an opinion of something	ažį́
hold down (e.g., a lid or a person)	śpisą
hold each other dear	ðótahkiðe
hold high	ðumáða
hold military maneuvers	áhkita okˀą
hold oneself in a certain way	áhkílaðį
hold onto, hold	oðį́įke
hold sacred	ðixópe, óxta káaɣe
hold up	ðuumą́ši, opáahą, paahą́
hold up (to display)	paamą́ši
hold up someone or something	ðiihą́
holder (container)	oožú
Holding, Frances Oberly (personal name: Hawk Woman)	letǫ́wį
hole	kˀó, okˀó
hole: make a ~	okákˀǫ
hole: punch or a cut a ~ in	opákˀo
Holes in the Wings (personal name)	áahukˀoe
holler	hóohtą, pá
holler for folks	wapą́
holy	xópe
holy: regard as ~	óxta káaɣe
home	hcíle, ohcíle
home: bring or take ~ (motion accomplished)	aðį́akši
home: go ~	mąlį́
home: make a ~	hcíle
home: my ~ (similar to chez moi in French)	ecí mįkšé
home: return or go ~ (motion underway)	alée
home: take ~ (motion underway)	aðį́alee
home: take ~ for oneself or as one's own	ahkílįalée
homely (not pretty or handsome)	ohtázaži
hominy	watáažoe
Hominy	hą́ąmąðį
Hominy district	ząącéolįį
homosexual	miixóke
honest	wáðohtą
honey	hkilǫ́ɣemąį
honor (verb)	áxope, ðixópe, kíoxta
honored	óxta
hook	íhkǫe
hook and line	hóize, íhkǫe
hook of any kind	húhka
hook something (e.g., clothing or a tree by using a thrown line)	húhka
hopeless: feel ~	hkíxiða
horn (of animal)	hé
horn (wind instrument)	opíɣą
horned toad	kalǫ́eže
horse	hkáwa
horse: wild or untamed	hkáwa wahcéxi
Horse Feeder (personal name)	hkáwa óˀku
[may be an error for	hkáwa óˀku]
Horse Giver (personal name)	hkáwa wakˀú
horse herder, horse watcher	hkáwatǫpa
horse whip	wékaaži
horseback	hkáwaalįį
horseback: go on ~	hkáwaalįį aðée
horserace	hkáwa hkipáną
hosiery	hįįǫke
hospital	húhekahci
hot (said of objects or substances; not usually used of persons)	táahkace
hot water heater	mą́ze nii táahkace káaɣe
hour	mįį́oðaake ohtánq
house	hcí, hcile
house: long ~ covered with brush or canvas	wažáihci
house of God	wahkǫ́tahci
housefly	hą́hceka
houseful	okúhpu
household	hcile, ohcile
housekeeping: set up ~, set up a household	hcile
how	haakǫ́, hǫ́ǫche
how about	hą́a
how big	háaðaską
how far	háatxą
how long	háatxą
how many	háaną
how much	háakǫ́, háaną
how small	háaðaską
however	oðąži
howl	hóohtą
hug	oð́įįke
huge	lą́ąðe wálį
human	nihkaśie
human: be ~	inihkaśie
human body	žúoka
humble	waxpáðį
humorous	wahóhota, wahóta
hunchback	cˀóxe
hundred, hundredth	lébrą huuźį
hungry	nǫhpéhi
hunt for	océ
hunting	htáabre
hunting: go ~ (for)	htáaðre aðée
hunting: squirrel ~	sįkóce
hunting expedition: go on a ~	kaalǫ́ðe
hunting time	hceetóoka kiśipi
hurriedly	xįna
hurry (verb)	hice
hurry: cause to ~	híceðe
hurry: in a ~	hwahkǫ́i
hurry: make someone ~	wáhice
hurry along	htą́ąðį
hurry someone	híceðe
hurry someone along	ihíce, wáhice
hurry something up	xį́na káaɣe
hurry up!	ónalį
hurrying toward something	ostówe
hurt	níe
hurt one another physically or emotionally	hkilíižoźi
hurt someone physically, mentally, or emotionally	ðiižoži
husband	
my husband	winíhka, níhka wíhta
if the couple's first child is a boy	wižį́ke iðáce 
when the husband is elderly	cˀáižį
your husband	ðiníhka, níhka ðíhta
her husband	iiníhka, níhka íhta
my/your/her husband	ilǫ́ǫhpa iðáce
husband: take as a ~	áðuɣe
husk (noun): corn ~	wacúexą
husk (verb)(e.g., corn)	ðuušáake
I	wíe (emphatic)
I too	wíškítą
Iba: Priscilla ~ (personal name)	wažážemį́įhcexį
ice	ną́ɣe
ice cream	ną́ɣe kípše, ną́ɣe paazénii
ice tea	hpéženii ną́ɣe oolą́
ice water	ną́ɣenii
icebox	ną́ɣeoožú
idea	waðilą, wažį́
identical to	kǫzékǫ idle ókaaɣeįke
if	tą (often not overtly expressed in Osage)
ignorant: be ~ (about something, of something)	kíopxaži
ill: be gravely ~	íhpiiži
ill: be ~ with	íhuheka
ill: do oneself	hkilúhpiiži
ill fortune: having ~	waxpáðį
ill-advised	ékǫži
illegitimate, illegitimate child	íðace įké
ill-mannered	ókˀą hpíiži
illness	húheka
illness: be free at last from ~	ónihkie
illness: be suffering a period of ~	ókaše
illness: have as an ~	ǫ́ǫ
illness: suffer from an ~	kihúheka
ill-tempered	ókˀą hpíiži
imitate	íkǫskahkiðe
immaterial	ókaaɣeįke [LFÐ]
immature	nǫ́ǫhiži
immediately	wąkǫ́ǫžį
immediately when: and ~	áha, iáha
impatient: be ~	íhice
impeded: be ~ by problems or sickness	ókaše
impel someone to drunkness	páalǫðį
imperative markers	a, ði, pai
imperfectly: do (something) ~	oolą́ąži
implement (tool)	wéhkikˀǫ
important	lą́ąðe, óxta
important: make ~	óxtaðe
important: make oneself ~	óxtahkiðe
impossible, impossibly	ðąącháži
improbable	ékǫžie ska
improbably	ðąącházi
improve with regard to an illness	kitą́he
in	ci , ki
in: be ~ an area or a group of people	omą́ðį
in: go ~	ohpé
in: live ~	olįį
in: put ~	oožú
in: put stuff ~	óožu
in (something lying or spread out)	kši
in (something sitting or round)	įkši
in a direction	ha
in addition	ški
in an offhand manner	íðilą ðįké
in attendance: be ~	ahi
in between	ohtą́ną
in bulk	bróka
in charge: be ~	oðóðe
in charge: be ~ of	oðówaðe
in front of and blocking	oðóši
in harmony	škaškáða
in order to, so that. (usually not overtly expressed in Osage, but only implied)	
in place of (see dative prefix)	
in spite of	óðąži
in that time	ée htáha
in the direction of	ée htáha, hta, htáha
in this manner	kaakǫ́
in this place	káa
inadequate: be ~	oolą́ąži
inappropriate	éeži, ékǫži
inappropriate, inappropriate action	ókˀą ekǫ́ži
inappropriately	ekǫ́įke, íhtaháaži
inceptive prefix	ki-
incessantly	štą
incinerated: be ~	táaðįke káaɣe
incite	ožížie
incorrect: be ~	ðikšįce
incorrectly	ekǫ́įke
increase in size	htą́ą
increase something a bit	wéhuužį
indeed	wálį
indeed (adverb)	xci, -žį
index finger	opázo
Indian, Indians	níhka žúuce
"Indian butter" (i.e. meat grease)	htáaweli
individual	níhkašie, ohką́ci
indoors	hcíhta
industrious	wahtóke
inebriated	lǫ́ðį, omą́įžį
inebriated: very badly ~	wéehlihpíiži
inefficient	hǫ́ǫži
inevitably	óðąži
inexpensive	ómąhka
infamous	iiséwaðe
infant, infancy	hpáažį
inferior	hǫ́ǫži
inferior: be ~	oolą́ąžį
inflict upon oneself	éhkiǫ
inform	óðaake
inhabit	olį́į
inherit	aláðį
injunctive markers	hce, htai
inner ear	nąąɣúce
innocent	ilánąðįké
inoculation: administer an ~	mąhká oðíkˀe
inquire after one's own people or things	ilǫ́ɣe
inquire into	ákazo
insane	cˀéka
insect	páðo, walúška
inside, in (as in 'come in/inside [the house]')	hcíhta
inside: place ~ of	oolą́
inside out	háašįðe
inside out: make ~	ðuháašįðe
insides (entrails)	šúpe
insolent	wakaacˀáiži
inspect	ákazo
instill fear in	ðusáaki
instruct	(see discussion under hce ée)
instrument: musical ~	paakíce
instrument: wind ~	opíɣą
instrumental prefixes [instr]	ðaa-, ðu-, kaa-, nąą-, pá-, paa-, pi-, pó-, pu-, táa-
insufficient	eeną́ži
insufficient (said of clothing)	cúuða
insult by word	ðaažóži
intelligent, intelligence	waðíląhtąą
intend	wakšé
intense: more ~	óhesaži
intercourse: have ~	wachú
intercourse: have ~ with	aðį́ažą, chúe
interest money	mą́zeska oðótą, oððtą mą́zeska
intermingle	oðóhkiðe
interpret for another	íe waská íkikaaɣe
interpreter	íe waská
interrogate	íðǫɣe
interrupt	ohkíkˀǫhe
interview, interview a person	ohkí́e
intestines	šúpe
into	hta, ki
into: fall or jump ~	ohkíǫðe
into: get ~	ohkíǫðe
into: get oneself ~ something by oneself	éwahkiǫ́ðe
into: go ~	ohpé
into: put ~	okˀǫ́he, oolą́
intoxicated	lǫ́ði, wéehlihpíiži
invert	ðiisą́ða
invert one's own	liisą́ða
investigate	ðuupxáðe, waðúupxai
invite folks	wapą́
invite folks to appear before others	wáapą
invite one's relative(s)	kíhpą
invite others to feast	kíhxo
invite someone (not a relatives)	kípą
inward	mąchéhtaha
Iowa or Ioway Indians	páxoce
irascible	ókˀą hpíiži, waðílą áška
iron (verb)	ðuuštáha, puštáha, wapúštaha
iron (verb), iron something	waðúuštaha
iron (metal)	mą́ze
Iron Hawk (personal name)	letą́mąze
Iron Necklace (personal name)	mą́ze wanǫ́pˀį
irrelevant	ée htáhaži
irritable	waðílą áška
irritated: be ~ by	áalake
island	niǫhta žįka
isn't it so?	hį́
isolate	ohką́ci káaɣe
isolated	ohką́ci
isolated from	ákahahta
it is time	éetxą, mįįðóhta
it is time again	ékitxą
itch: scratch an ~	kˀúe
item	tą́ąska
iterative markers	ną, nąpe
jack (in a deck of cards)	žáhke
jack mule	nąąhtą́htąą
jail, jailhouse	hą́ąnahpazéhci
jail: put someone in ~	hą́ąnahpazé oolą́
January	hą́ąpascee, mį́įohką́ce, mį́įǫpa hpąhą́le, omą́įhka heéka, wasápe íikitali
jar	oožú
jaw	ðéepa
